 Id,Deviceid,Lat,Lng,Userid,Vehicleid,Vehicledetails,Board,Alight,Numpass,Date,Time
600e2145bd94231387da2745,f37e21837c455346,6.0857059,125.1494395,khivs,,,FALSE,FALSE,0,25/01/2021,9:39:16
600e214abd94231387da2746,f37e21837c455346,6.0857092,125.1494386,khivs,,,FALSE,FALSE,0,25/01/2021,9:39:23
600e214fbd94231387da2747,f37e21837c455346,6.0856973,125.1494435,khivs,,,FALSE,FALSE,0,25/01/2021,9:39:30
600e2154bd94231387da2748,f37e21837c455346,6.085496,125.1496175,khivs,,,FALSE,FALSE,0,25/01/2021,9:39:34
600e2154bd94231387da2749,f37e21837c455346,6.0854563,125.1496157,khivs,,,FALSE,FALSE,0,25/01/2021,9:39:35
600e2159bd94231387da274a,f37e21837c455346,6.0854582,125.1496125,khivs,,,FALSE,FALSE,0,25/01/2021,9:39:37
600e2159bd94231387da274b,f37e21837c455346,6.0854582,125.1496125,khivs,,,TRUE,FALSE,1,25/01/2021,9:39:38
600e215abd94231387da274c,f37e21837c455346,6.0855146,125.1496317,khivs,,,FALSE,FALSE,1,25/01/2021,9:39:39
600e215abd94231387da274d,f37e21837c455346,6.0855363,125.1496433,khivs,,,FALSE,FALSE,1,25/01/2021,9:39:40
600e215abd94231387da274e,f37e21837c455346,6.0855363,125.1496433,khivs,,,FALSE,TRUE,0,25/01/2021,9:39:40
600e215abd94231387da274f,f37e21837c455346,6.0855357,125.1496329,khivs,,,FALSE,FALSE,0,25/01/2021,9:39:42
600e215fbd94231387da2750,f37e21837c455346,6.0855328,125.1496226,khivs,,,FALSE,FALSE,0,25/01/2021,9:39:44
600e215fbd94231387da2751,f37e21837c455346,6.0855294,125.1496196,khivs,,,FALSE,FALSE,0,25/01/2021,9:39:45
600e215fbd94231387da2752,f37e21837c455346,6.0855209,125.1496005,khivs,,,FALSE,FALSE,0,25/01/2021,9:39:47
600e2164bd94231387da2753,f37e21837c455346,6.0855149,125.149591,khivs,,,FALSE,FALSE,0,25/01/2021,9:39:49
600e2164bd94231387da2754,f37e21837c455346,6.0855103,125.149585,khivs,,,FALSE,FALSE,0,25/01/2021,9:39:50
600e2164bd94231387da2755,f37e21837c455346,6.0855091,125.1495822,khivs,,,FALSE,FALSE,0,25/01/2021,9:39:51
