 Id,Deviceid,Lat,Lng,Userid,Vehicleid,Vehicledetails,Board,Alight,Numpass,Date,Time
6010a3e0bd94231387ec51d2,ef1e03d3e19f388f,6.1191186,125.1877336,mohaimengani26,,,FALSE,FALSE,0,27/01/2021,7:20:58
6010a3e0bd94231387ec51d4,ef1e03d3e19f388f,6.1191211,125.1877253,mohaimengani26,,,FALSE,FALSE,0,27/01/2021,7:20:59
6010a3e0bd94231387ec51d6,ef1e03d3e19f388f,6.119116,125.1877219,mohaimengani26,,,FALSE,FALSE,0,27/01/2021,7:21:01
6010a3e0bd94231387ec51d8,ef1e03d3e19f388f,6.1191054,125.1877165,mohaimengani26,,,FALSE,FALSE,0,27/01/2021,7:21:02
6010a3e5bd94231387ec520b,ef1e03d3e19f388f,6.1190967,125.1877098,mohaimengani26,,,FALSE,FALSE,0,27/01/2021,7:21:03
6010a3e5bd94231387ec520d,ef1e03d3e19f388f,6.1190893,125.1877049,mohaimengani26,,,FALSE,FALSE,0,27/01/2021,7:21:04
6010a3e5bd94231387ec520f,ef1e03d3e19f388f,6.1190909,125.1877011,mohaimengani26,,,FALSE,FALSE,0,27/01/2021,7:21:06
6010a3e6bd94231387ec5211,ef1e03d3e19f388f,6.1190954,125.187699,mohaimengani26,,,FALSE,FALSE,0,27/01/2021,7:21:08
6010a3ebbd94231387ec5244,ef1e03d3e19f388f,6.1190911,125.1876955,mohaimengani26,,,FALSE,FALSE,0,27/01/2021,7:21:10
6010a3ebbd94231387ec5246,ef1e03d3e19f388f,6.1190958,125.187694,mohaimengani26,,,FALSE,FALSE,0,27/01/2021,7:21:12
6010a3ebbd94231387ec5248,ef1e03d3e19f388f,6.1190953,125.1876972,mohaimengani26,,,FALSE,FALSE,0,27/01/2021,7:21:13
6010a3f0bd94231387ec527b,ef1e03d3e19f388f,6.1190976,125.1877031,mohaimengani26,,,FALSE,FALSE,0,27/01/2021,7:21:15
6010a3f0bd94231387ec527d,ef1e03d3e19f388f,6.1191015,125.1877043,mohaimengani26,,,FALSE,FALSE,0,27/01/2021,7:21:17
6010a3f0bd94231387ec527f,ef1e03d3e19f388f,6.1191014,125.1877039,mohaimengani26,,,FALSE,FALSE,0,27/01/2021,7:21:19
